URL	Start Time	End Time	RTT (ms)	Status Code	Content Size (bytes)	Throughput (bytes/ms)
http://10.10.200.1/index2.html	2024-09-07 10:45:35.313958	2024-09-07 10:45:56.359111	21045.153	200	0	0.0
http://10.10.200.1/index3.html	2024-09-07 10:45:35.313958	2024-09-07 10:45:56.359111	21045.153	200	0	0.0
http://10.10.200.1/index3.html	2024-09-07 10:45:35.310931	2024-09-07 10:45:56.359111	21048.18	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:35.310931	2024-09-07 10:45:56.359111	21048.18	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:35.315927	2024-09-07 10:45:56.383737	21067.81	200	0	0.0
http://10.10.200.1/index2.html	2024-09-07 10:45:35.317795	2024-09-07 10:45:56.385082	21067.287	200	0	0.0
http://10.10.200.1/index71.html	2024-09-07 10:45:35.320889	2024-09-07 10:45:56.385624	21064.735	200	0	0.0
http://10.10.200.1/index18.html	2024-09-07 10:45:35.317273	2024-09-07 10:45:56.385624	21068.351	200	0	0.0
http://10.10.200.1/index3.html	2024-09-07 10:45:35.317795	2024-09-07 10:45:56.385624	21067.828999999998	200	0	0.0
http://10.10.200.1/index12.html	2024-09-07 10:45:35.317795	2024-09-07 10:45:56.385624	21067.828999999998	200	0	0.0
http://10.10.200.1/index3.html	2024-09-07 10:45:36.337087	2024-09-07 10:45:57.371138	21034.051000000003	200	0	0.0
http://10.10.200.1/index2.html	2024-09-07 10:45:36.341133	2024-09-07 10:45:57.371138	21030.004999999997	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:36.346083	2024-09-07 10:45:57.371138	21025.054999999997	200	0	0.0
http://10.10.200.1/index3.html	2024-09-07 10:45:36.339120	2024-09-07 10:45:57.371138	21032.018	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:36.347234	2024-09-07 10:45:57.371138	21023.904000000002	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:36.356241	2024-09-07 10:45:57.387337	21031.096	200	0	0.0
