URL	Start Time	End Time	RTT (ms)	Status Code	Content Size (bytes)	Throughput (bytes/ms)
www.cnn.com	2024-12-27 17:55:36.283617	2024-12-27 17:55:48.648060	12364.443	200	7239573	585.5154979484316
www.cnn.com	2024-12-27 17:55:36.440886	2024-12-27 17:55:49.844901	13404.015	200	7239572	540.1047372746151
www.cnn.com	2024-12-27 17:55:36.629774	2024-12-27 17:55:50.314237	13684.463	200	7239573	529.0359585173346
www.reuters.com	2024-12-27 17:55:48.649284	2024-12-27 17:55:50.654476	2005.192	200	12045	6.00690607183751
www.reuters.com	2024-12-27 17:55:49.863320	2024-12-27 17:55:51.062394	1199.074	200	12045	10.045251585807048
www.aljazeera.com	2024-12-27 17:55:36.185986	2024-12-27 17:55:51.415698	15229.712	200	5184993	340.45246554892174
www.cnn.com	2024-12-27 17:55:36.554685	2024-12-27 17:55:51.705818	15151.133	200	7239573	477.8238696736409
www.aljazeera.com	2024-12-27 17:55:36.378962	2024-12-27 17:55:52.570811	16191.849000000002	200	5184993	320.2224156117068
www.aljazeera.com	2024-12-27 17:55:37.832701	2024-12-27 17:55:52.666718	14834.017	200	5184993	349.5339799057801
www.nationalgeographic.com	2024-12-27 17:55:36.319907	2024-12-27 17:55:52.734179	16414.272	200	2779553	169.33757403313408
www.thejakartapost.com	2024-12-27 17:55:24.784559	2024-12-27 17:55:55.815404	31030.845	200	1717617	55.35192483478938
www.washingtonpost.com	2024-12-27 17:55:36.666664	2024-12-27 17:55:56.246663	19579.999	200	0	0.0
www.thanhniennews.com	2024-12-27 17:55:36.212914	2024-12-27 17:55:57.906710	21693.796	200	0	0.0
www.reuters.com	2024-12-27 17:55:57.911518	2024-12-27 17:55:58.969278	1057.76	200	12045	11.387271214642263
www.cnn.com	2024-12-27 17:55:47.104569	2024-12-27 17:55:59.008251	11903.682	200	7239571	608.1791331455258
www.nbcnews.com	2024-12-27 17:55:24.761575	2024-12-27 17:56:03.718284	38956.708999999995	200	7629287	195.84013115686957
www.nbcnews.com	2024-12-27 17:55:24.708394	2024-12-27 17:56:03.857780	39149.386	200	7629287	194.87628745952748
www.nbcnews.com	2024-12-27 17:55:36.594230	2024-12-27 17:56:09.825582	33231.352	200	7629232	229.5793442289077
www.aljazeera.com	2024-12-27 17:55:56.259014	2024-12-27 17:56:11.553348	15294.333999999999	200	5184993	339.0139773330437
www.cnn.com	2024-12-27 17:55:55.837551	2024-12-27 17:56:12.143355	16305.803999999998	200	7239573	443.98749058924056
www.nbcnews.com	2024-12-27 17:55:46.995023	2024-12-27 17:56:12.478475	25483.452	200	7629232	299.3798485385732
www.nbcnews.com	2024-12-27 17:55:51.071450	2024-12-27 17:56:20.690753	29619.303	200	7629232	257.5763514759277
www.bbc.com/news	2024-12-27 17:55:24.987019	2024-12-27 17:56:22.109360	57122.341	200	11209126	196.23015800420364
www.bbc.com/news	2024-12-27 17:55:24.816544	2024-12-27 17:56:22.129218	57312.674	200	11209166	195.57918375959915
www.aljazeera.com	2024-12-27 17:56:03.724458	2024-12-27 17:56:22.905100	19180.642	200	5184993	270.32426756101285
www.bbc.com/news	2024-12-27 17:55:24.929174	2024-12-27 17:56:23.236210	58307.036	200	11209163	192.24374567762285
www.bbc.com/news	2024-12-27 17:55:24.834338	2024-12-27 17:56:23.366218	58531.880000000005	200	11209126	191.50462961381044
www.bbc.com/news	2024-12-27 17:55:24.792575	2024-12-27 17:56:23.484672	58692.096999999994	200	11209126	190.98186251549336
www.bbc.com/news	2024-12-27 17:55:25.084782	2024-12-27 17:56:23.519349	58434.567	200	11209126	191.82354855132238
www.bbc.com/news	2024-12-27 17:55:24.885912	2024-12-27 17:56:23.872735	58986.823000000004	200	11209126	190.02762701764763
www.bbc.com/news	2024-12-27 17:55:24.797404	2024-12-27 17:56:23.991909	59194.505	200	11209126	189.36092125443062
www.bbc.com/news	2024-12-27 17:55:25.246731	2024-12-27 17:56:24.520261	59273.53	200	11209126	189.1084603869552
www.bbc.com/news	2024-12-27 17:55:24.898360	2024-12-27 17:56:24.520261	59621.901	200	11209126	188.00349891560822
www.bbc.com/news	2024-12-27 17:55:24.840359	2024-12-27 17:56:24.948710	60108.351	200	11209126	186.48200813228098
www.bbc.com/news	2024-12-27 17:55:24.741199	2024-12-27 17:56:25.224683	60483.484	200	11209126	185.3254022205467
www.bbc.com/news	2024-12-27 17:55:24.741199	2024-12-27 17:56:25.476005	60734.806	200	11209126	184.55852151729934
www.bbc.com/news	2024-12-27 17:55:24.710255	2024-12-27 17:56:25.486903	60776.648	200	11209126	184.43146124149524
www.bbc.com/news	2024-12-27 17:55:25.048797	2024-12-27 17:56:25.559484	60510.687	200	11209124	185.24205484561762
www.bbc.com/news	2024-12-27 17:55:25.601818	2024-12-27 17:56:26.052300	60450.482	200	11209126	185.426577740108
www.bbc.com/news	2024-12-27 17:55:25.014171	2024-12-27 17:56:26.159025	61144.854	200	11209126	183.3208400497612
www.bbc.com/news	2024-12-27 17:55:24.828796	2024-12-27 17:56:26.305273	61476.477000000006	200	11209126	182.33195112986058
www.bbc.com/news	2024-12-27 17:55:25.685252	2024-12-27 17:56:26.784143	61098.891	200	11209126	183.458747229962
www.bbc.com/news	2024-12-27 17:55:24.992977	2024-12-27 17:56:27.669056	62676.079	200	11209126	178.84217039167368
www.rappler.com	2024-12-27 17:55:24.843909	2024-12-27 17:56:27.708312	62864.403000000006	200	4443549	70.68466076103513
www.bbc.com/news	2024-12-27 17:55:24.758787	2024-12-27 17:56:27.715961	62957.174	200	11209126	178.04366504760839
www.latimes.com	2024-12-27 17:56:25.226150	2024-12-27 17:56:27.877440	2651.29	200	36	0.013578295848436044
www.chinapost.com.tw	2024-12-27 17:56:27.671742	2024-12-27 17:56:28.019921	348.17900000000003	200	0	0.0
www.bbc.com/news	2024-12-27 17:55:26.563153	2024-12-27 17:56:28.050377	61487.223999999995	200	11209126	182.30008237158341
www.aljazeera.com	2024-12-27 17:56:03.879613	2024-12-27 17:56:28.414751	24535.138	200	5184995	211.32935954955707
www.politico.com	2024-12-27 17:56:27.709856	2024-12-27 17:56:28.446434	736.578	200	8078	10.966930861361595
